Game,Millions_copies_sold,Release_date,Genre,Developer,Publisher
Marvel's Spider-Man,20.0,"September 7, 2018",Action-adventure,Insomniac Games,Sony Interactive Entertainment
God of War,19.5,"April 20, 2018",Action-adventurehack and slash,Santa Monica Studio,Sony Interactive Entertainment
Uncharted 4: A Thief's End,16.0,"May 10, 2016",Action-adventure,Naughty Dog,Sony Interactive Entertainment
The Witcher 3: Wild Hunt,10.8,"May 18, 2015",Action role-playing,CD Projekt Red,CD Projekt
The Last of Us Part II,10.0,"June 19, 2020",Action-adventuresurvival horror,Naughty Dog,Sony Interactive Entertainment
Horizon Zero Dawn,10.0,"February 28, 2017",Action role-playing,Guerrilla Games,Sony Interactive Entertainment
The Last of Us Remastered,10.0,"July 29, 2014",Action-adventuresurvival horror,Naughty Dog,Sony Computer Entertainment
Star Wars Battlefront,8.42,"November 17, 2015",First-person shooterthird-person shooter,EA DICE,Electronic Arts
Ghost of Tsushima,9.73,"July 17, 2020",Action-adventurestealth,Sucker Punch Productions,Sony Interactive Entertainment
Infamous Second Son,6.0,"March 21, 2014",Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
Final Fantasy VII Remake,5.0,"April 10, 2020",Action role-playing,Square Enix,Square Enix
Monster Hunter: World,4.67,"January 26, 2018",Action role-playing,Capcom,Capcom
Cyberpunk 2077,3.83,"December 10, 2020",Action role-playing,CD Projekt Red,CD Projekt
Detroit: Become Human,3.2,"May 25, 2018",Adventure,Quantic Dream,Sony Interactive Entertainment
FIFA 17,3.12,"September 27, 2016",Sports,EA CanadaEA Bucharest,EA Sports
Crash Bandicoot N. Sane Trilogy,2.5,"June 30, 2017",Platform,Vicarious Visions,Activision
Final Fantasy XV,2.5,"November 29, 2016",Action role-playing,Square Enix Business Division 2,Square Enix
Persona 5 Royal,2.3,"October 31, 2019",Role-playingsocial simulation,P-Studio,Atlus
Killzone: Shadow Fall,2.1,"November 15, 2013",First-person shooter,Guerrilla Games,Sony Computer Entertainment
Grand Theft Auto V,2.02,"November 18, 2014",Action-adventure,Rockstar North,Rockstar Games
Bloodborne,2.0,"March 24, 2015",Action role-playing,FromSoftware,Sony Computer Entertainment
Driveclub,2.0,"October 7, 2014",Racing,Evolution Studios,Sony Computer Entertainment
Knack,2.0,"November 15, 2013",Platformbeat 'em up,Japan Studio,Sony Computer Entertainment
Minecraft: PlayStation 4 Edition,2.0,"September 4, 2014",Sandboxsurvival,4J Studios,Sony Computer Entertainment
Nier: Automata,1.6,"February 23, 2017",Action role-playing,PlatinumGames,Square Enix
Nioh 2,1.4,"March 12, 2020",Action role-playing,Team Ninja,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}WW: Sony Interactive EntertainmentJP: Koei Tecmo"
Battlefield 1,1.3,"October 21, 2016",First-person shooter,EA DICE,Electronic Arts
Dragon Quest XI: Echoes of an Elusive Age,1.3,"July 29, 2017",Role-playing,Square Enix,Square Enix
Gran Turismo Sport,8.0,"October 17, 2017",Racing,Polyphony Digital,Sony Interactive Entertainment
Metal Gear Solid V: The Phantom Pain,1.1,"September 1, 2015",Action-adventurestealth,Kojima Productions,Konami
Final Fantasy XII: The Zodiac Age,1.0,"July 11, 2017",Role-playing,Square Enix,Square Enix
Kingdom Hearts III,1.0,"January 25, 2019",Action role-playing,Square Enix,Square Enix
Nioh,1.0,"February 7, 2017",Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo
